Note1,Note2,Admis
9.75,16.0,1
2.25,9.5,0
4.5,2.5,0
15.5,10.25,1
3.25,19.5,1
14.0,10.0,1
0.0,17.0,0
10.25,0.5,0
1.0,1.25,0
1.5,20.0,1
11.5,15.75,1
15.5,2.25,0
7.75,3.75,0
8.0,19.5,1
5.5,19.75,1
19.25,8.0,1
4.75,14.75,0
0.25,15.5,0
15.0,4.0,0
7.5,18.25,1
4.75,6.0,0
4.75,5.75,0
17.75,0.75,0
12.0,12.5,1
11.75,9.5,1
12.5,2.0,0
7.5,19.75,1
8.5,17.5,1
4.75,10.25,0
17.75,15.5,1
15.25,3.25,0
6.5,3.75,0
5.0,10.75,0
2.0,11.5,0
6.5,12.5,0
13.5,11.0,1
19.5,20.0,1
17.25,10.0,1
13.25,18.5,1
18.5,18.75,1
7.0,3.25,0
14.0,15.25,1
8.5,4.0,0
18.5,0.75,0
11.75,0.25,0
15.75,18.25,1
7.25,13.0,1
18.0,11.0,1
1.25,0.25,0
5.25,2.75,0
14.75,15.75,1
0.0,10.25,0
14.5,8.5,1
7.5,2.0,0
13.5,10.25,1
19.75,20.0,1
12.75,3.5,0
15.5,7.25,1
9.25,1.5,0
3.75,13.0,0
11.5,20.0,1
17.0,12.75,1
12.25,1.5,0
3.0,19.75,1
4.5,15.25,0
5.25,13.5,0
6.75,17.25,1
7.25,17.0,1
18.5,7.25,1
5.25,10.25,0
18.0,11.0,1
6.5,14.75,1
7.25,16.75,1
11.75,19.0,1
17.25,14.25,1
3.75,14.0,0
9.75,1.25,0
3.25,17.75,1
2.5,4.25,0
17.25,12.75,1
12.25,8.5,1
14.5,6.75,1
18.5,2.75,1
2.25,20.0,1
16.0,14.5,1
8.5,11.25,0
11.75,19.25,1
13.25,11.25,1
3.25,9.75,0
6.5,10.25,0
14.25,14.0,1
5.5,8.25,0
1.75,13.75,0
18.75,1.25,1
7.25,12.25,0
10.25,18.75,1
12.0,0.25,0
15.25,8.75,1
0.5,13.25,0
6.75,17.0,1
